iso,location_type,location,market,resolution
ERCOT,Hub,HB_HOUSTON,DA,Hour
ERCOT,Hub,HB_SOUTH,DA,Hour
ERCOT,Hub,HB_NORTH,DA,Hour
ERCOT,Hub,HB_WEST,DA,Hour
ERCOT,Hub,HB_PAN,DA,Hour
ERCOT,Node,BYRDR_ES_ALL,DA,Hour
ERCOT,Node,BSS_U1,DA,Hour
ERCOT,Node,ALP_BESS_RN,DA,Hour
ERCOT,Node,HLY_RN,DA,Hour
ERCOT,Node,BATCAVE_RN,DA,Hour
ERCOT,Node,KEECHI_U1,DA,Hour
ERCOT,Node,RANCHERO_ALL,DA,Hour
ERCOT,Node,SRWE1_UNIT1,DA,Hour
ERCOT,Node,SHAFFER_ALL,DA,Hour
ERCOT,Node,NBOHR_RN,DA,Hour
ERCOT,Node,MISAE_GEN_RN,DA,Hour
ERCOT,Node,VISION_RN,DA,Hour
ERCOT,Node,BCK_RN,DA,Hour
ERCOT,Node,AZURE_RN,DA,Hour
ERCOT,Node,PROSPERO_ALL,DA,Hour
